stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,corridor,active
424128201000472,Golfe Olímpico,Avenida das Américas próximo ao 10101,-23.00009,-43.41223,0,424128201000400,BRT Transoeste,0
518144202000300,Gramado,Rua Gramado próximo ao 190,-22.90444,-43.5706,1,,BRT Transoeste,0
518144202000371,Gramado,Rua Gramado próximo ao 190,-22.9044,-43.57058,0,518144202000300,BRT Transoeste,0
311044203000300,Guaporé,Avenida Brás de Pina próximo ao 651,-22.83765,-43.28972,1,,BRT Transcarioca,0
311044203000371,Guaporé,Avenida Brás de Pina próximo ao 651,-22.8376,-43.28982,0,311044203000300,BRT Transcarioca,0
311044203000372,Guaporé,Avenida Brás de Pina próximo ao 651,-22.83768,-43.28982,0,311044203000300,BRT Transcarioca,0
424132201001100,Guignard,Avenida das Américas próximo ao 35,-23.01079,-43.45263,1,,BRT Transoeste,0
424132201001171,Guignard,Avenida das Américas próximo ao 35,-23.01075,-43.45266,0,424132201001100,BRT Transoeste,0
424132201001172,Guignard,Avenida das Américas próximo ao 35,-23.01083,-43.45261,0,424132201001100,BRT Transoeste,0
424132201000600,Guiomar Novaes,Avenida das Américas próximo ao 18500,-23.01843,-43.48261,1,,BRT Transoeste,0
424132201000671,Guiomar Novaes,Avenida das Américas próximo ao 18500,-23.01839,-43.48262,0,424132201000600,BRT Transoeste,0
424132201000672,Guiomar Novaes,Avenida das Américas próximo ao 18500,-23.01846,-43.48258,0,424132201000600,BRT Transoeste,0
311043203000400,Ibiapina,Rua Ibiapina próximo ao 205,-22.84241,-43.2726,1,,BRT Transcarioca,0
311043203000471,Ibiapina,Rua Ibiapina próximo ao 205,-22.84239,-43.27251,0,311043203000400,BRT Transcarioca,0
311043203000472,Ibiapina,Rua Ibiapina próximo ao 205,-22.84245,-43.2726,0,311043203000400,BRT Transcarioca,0
518146202000500,Icurana,Avenida Cesário de Melo próximo ao 7800,-22.91511,-43.60583,1,,BRT Transoeste,0
518146202000571,Icurana,Avenida Cesário de Melo próximo ao 7800,-22.91504,-43.60579,0,518146202000500,BRT Transoeste,1
